news_id,title,category,final_hybrid_score
N35729,"porsche launches into second story of new jersey building, killing 2",news,1003.8
N33619,college gymnast dies following training accident in connecticut,news,973.8
N53585,"rip taylor's cause of death revealed, memorial service scheduled for later this month",tv,850.5
N63970,dean foods files for bankruptcy,finance,773.4
N47061,105 black friday deals you can start shopping today,lifestyle,0.7
N51048,,,0.5846855059252506
N26262,celebrity plastic surgery transformations,entertainment,0.5805530233971438
N50872,50 amazing gifts for every type of person and budget,lifestyle,0.5682771194165906
N55689,"charles rogers, former michigan state football, detroit lions star, dead at 38",sports,0.556517775752051
N38779,'one in a million' deer captured on camera in michigan woods,news,0.5500151929504709
